Item name,Type,Wsp,Price,Initial,Stock,Status,Description,SEO,Dominance,THC,CBD,effects,relieves
Strawneapple,Strain,14,350,550,30.5,In stock,"Strawneapple is a perfectly balanced 50/50 hybrid strain bred by Exotic Genetix, born from the remarkable genetic combination of Purple Pineapple and Gary Poppins. This strain offers a delightful experience with its sweet pineapple aroma complemented by earthy undertones, making it a treat for both the senses and the mind. With a flowering period of 8-9 weeks indoors and outdoor harvests ready by late September to early October, Strawneapple is a versatile choice for growers. Indoor yields reach up to 700 grams per square meter, while outdoor plants can produce a staggering 1300 grams. \n\n The effects of Strawneapple are equally impressive, delivering a harmonious blend of relaxation and uplifting energy. It starts with a gentle cerebral buzz that enhances creativity and focus before transitioning into a soothing body high that eases tension. These balanced effects make it a go-to for those seeking a strain that combines euphoria with tranquility. \n\n Strawneapple's dominant terpenes contribute to its tropical pineapple flavor with subtle earthy nuances, creating a truly exotic profile. This strain is often chosen by medical cannabis users for its ability to alleviate stress, anxiety, and chronic pain. Its resinous buds, vibrant green hues, and tantalizing aroma make Strawneapple an unforgettable strain for enthusiasts and cultivators alike.","Strawneapple is a balanced hybrid with tropical pineapple flavors and earthy tones, offering uplifting energy and deep relaxation. Perfect for stress relief.",Hybrid,25.0,0.0,"Energetic, Tingly, Relaxed","Anxiety, Chronic Pain, Depression"
Thai Stick,Strain,35,100,1150,35.5,In stock,"Discover the rich legacy of the Thai Stick strain, a pure sativa landrace deeply rooted in the fertile landscapes of Thailand. Brought to the United States in the 70s and 80s, Thai Stick—named for its traditional drying method where buds are bound onto long sticks—has left a lasting impact on the cannabis world. This strain has inspired several notable descendants, such as Voodoo, Juicy Fruit, and the classic Haze. Its unique heritage contributes to its potent yet smooth effects, making it a prized choice among connoisseurs. \n\n Thai Stick is renowned for its distinctive fruity and citrus aroma, which sets it apart from other strains. Despite its appeal, this strain presents a growing challenge outside of tropical climates, requiring a greenhouse environment to thrive. With a notably extended growth cycle and slow flowering process, Thai Stick demands patience and expertise from growers. However, the reward is a strain with a unique profile and robust effects. \n\n On consumption, Thai Stick offers a quintessential sativa high that begins with a gradual onset of euphoria. This uplifting sensation builds to a peak that leaves users feeling invigorated and motivated, while a calming relaxation settles in without impeding physical activity. Its THC levels, typically ranging from 15-20%, contribute to its effectiveness in addressing chronic fatigue, inattentiveness, depression, appetite loss, and stress. The strain’s sweet tropical flavor and spicy, skunky exhale further enhance its appeal, making it a memorable choice for both recreational and therapeutic use.","Thai Stick is a pure sativa strain with a fruity, citrus aroma and potent effects. Known for its unique drying method and long growth cycle, it offers uplifting euphoria and calming relaxation.",Sativa  100%,19.0,0.0,"Energetic, Focused, Creative","Stress, Depression, Anxiety"
Toasted Toffee,Strain,18,500,376,36,In stock,"Toasted Toffee is a balanced hybrid strain, born from the cross of White Truffles and Gary Poppins. Known for its rich terpene profile featuring b-Caryophyllene, Limonene, and a-Humulene, this strain offers a smooth blend of relaxation and mood elevation. With its toffee-like aroma and subtle earthy undertones, Toasted Toffee delivers a unique sensory experience. \n\n The effects are both uplifting and relaxing, making it perfect for relieving stress while maintaining a happy, carefree mood. \n\n Whether you're dealing with pain, depression, anxiety, or stress, this strain offers relief with a euphoric touch. Its balanced nature makes it suitable for day or night use, allowing users to unwind without feeling overly sedated.","Toasted Toffee strain: A hybrid with uplifting, relaxing effects. May relieve pain, stress, anxiety, or depression. Rich in b-Caryophyllene and Limonene terpenes.",Hybrid,25.0,0.0,"Giggly, Talkative, Happy","Anxiety, Depression, Stress"
Tropical Sunrise,Strain,45,350,110,24.5,In stock,"Savor Tropical Sunrise, a vibrant hybrid (50% indica/50% sativa) from Grape God and Mandarin Sunset strains, crafted on a GACP-certified farm in Thailand. Its summery aroma blends sweet tropical citrus with juicy grape notes, woody pine, and subtle spices, igniting the senses. The flavor bursts with zesty citrus, followed by a smooth, sweet grape finish that lingers delightfully. \n\n Grown under Thailand’s GACP standards, ensuring rigorous quality, safety, and traceability, this strain boasts 17-21% THC for an uplifting, euphoric high that sparks creativity and eases the body. Its neon-green buds, adorned with orange hairs and frosty golden trichomes, reflect premium craftsmanship. Sourced from Thailand’s tropical climate, ideal for potent hybrids, Tropical Sunrise evokes a serene beach sunset, blending energy and relaxation. This GACP-certified gem, compliant with Thai FDA standards, delivers an authentic, high-quality experience for cannabis enthusiasts seeking Thailand’s finest.","Tropical Sunrise, a GACP-certified hybrid, blends citrus and grape flavors with 17-21% THC. Grown in Thailand for euphoric highs.",Hybrid,21.0,0.0,"Calming, Giggly, Happy","Headaches, Stress, Depression"
CBD Charlotte's Angel,Strain,50,250,55,23.5,In stock,"CBD Charlotte's Angel is a sativa-dominant hybrid (70% sativa/30% indica) from Dutch Charlotte and Red Angel, boasting an average 15% CBD content with THC below 1%, perfect for a non-intoxicating experience. Its herbal aroma features pine, diesel, and earthy notes, while the flavor offers woody spice with citrus hints. The neon-green buds, with orange hairs and purple undertones coated in white trichomes, reflect premium quality. \n\n This CBD-rich strain provides a gentle, uplifting high, promoting a mellow relaxation that calms the body and mind. With phenotypes reaching 20-25% CBD, it stands out for its pungent terpene profile—herbal with diesel, citrus, and pine—delivering a tasty, relaxing vibe without strong psychoactive effects. \n\n As a 3-time cup winner, CBD Charlotte's Angel is ideal for those seeking a high-CBD option with a unique, calming presence. Its tall growth and large buds make it a standout for enthusiasts wanting purity and authenticity in a soothing, focused journey.""","CBD Charlotte's Angel, sativa hybrid with 15% CBD and THC <1%. Herbal pine flavors for calming, uplifting relaxation in the cannabis scene.",Sativa  70%,0.0,15.0,"Calming, Uplifted, Tingly","Stress, Inflammation, Muscle tension"
Basic Lighter,Gadget,5,20,20,5,In stock,,,,,,,
Glass Ice Bong,Gadget,250,600,40,3,In stock,"Embrace the timeless elegance of the Classic Ice Bong. Standing tall at 250mm and weighing a solid 370g, this bong is a symbol of sophistication and function. Crafted for those who appreciate tradition, it promises a cool, smooth, and refreshing smoking experience. With its sturdy build and striking design, the Classic Ice Bong is your gateway to elevated indulgence, redefining the art of smoking.","Embrace the timeless elegance of the Classic Ice Bong. Standing tall at 250mm and weighing a solid 370g, this bong is a symbol of sophistication and function. Crafted for those who appreciate tradition, it promises a cool, smooth, and refreshing smoking experience. With its sturdy build and striking design, the Classic Ice Bong is your gateway to elevated indulgence, redefining the art of smoking.",,,,,
Clipper Lighter,Gadget,17,50,310,6,In stock,"Introducing the Clipper Lighter - your eco-friendly, reusable firestarter with a remarkable service life of over 3,000 uses. Crafted to last, this versatile lighter not only reduces waste but also ignites your flame with unmatched reliability. With a commitment to sustainability and quality, the Clipper Lighter is your trusted companion for endless, hassle-free lighting, and an environmentally-conscious choice.","Introducing the Clipper Lighter - your eco-friendly, reusable firestarter with a remarkable service life of over 3,000 uses. Crafted to last, this versatile lighter not only reduces waste but also ignites your flame with unmatched reliability. With a commitment to sustainability and quality, the Clipper Lighter is your trusted companion for endless, hassle-free lighting, and an environmentally-conscious choice.",,,,,
Grinder with loader,Gadget,40,100,11,11,In stock,,,,,,,
Hornet Paper Tips,Gadget,15,120,100,1,In stock,,,,,,,
Hornet Tips,Gadget,8,50,100,17,In stock,,,,,,,
Metal Grinder 4 layer,Gadget,50,250,10,5,In stock,"Crafted for convenience and durability, this 40mm 4-Layer Zinc Alloy Hand Movement Tobacco Grinder is a must-have for herb enthusiasts. Compact and portable at just 4 x 4 x 3.5 cm and a lightweight 68g, it slips effortlessly into your pocket or kitchen drawer, ready to tackle any grinding task. Forged from premium zinc alloy, this grinder boasts a sleek, resilient build that resists wear while maintaining a timeless look. \n\n Its four-layer design ensures a seamless experience—sharp teeth shred herbs or spices with ease, a mesh screen filters fine particles, and a bottom chamber collects the goods. Perfect for tobacco, herbs, or kitchen spices, it’s as versatile as it is user-friendly: just a few twists of the hand deliver a consistent grind. Packaged neatly in a box, this small yet mighty tool combines practicality with portability, making it an ideal companion for home cooks or on-the-go grinders seeking quality in a pint-sized package.","Compact 40mm 4-layer zinc alloy grinder. Durable, portable, and easy to use for tobacco, herbs, and spices. Lightweight at 68g, perfect for home or on-the-go.",,,,,
Mini Pipe,Gadget,40,120,7,0,Sold out,,,,,,,
Plastic Grinder,Gadget,20,100,50,12,In stock,,,,,,,
SlimJim Papers Slim ,Gadget,15,100,20,20,In stock,,,,,,,
SlimJim Rolling Papers,Gadget,30,80,400,25,In stock,"Elevate your smoking experience with SlimJim Rolling Papers. Featuring a sleek and slender design, these Slim papers offer 20 leaves of pure delight for your smoking pleasure. Crafted for connoisseurs who appreciate the finer things, these papers deliver a smooth and stylish smoking experience. Upgrade your smoking game with SlimJim, your go-to choice for slim-sized rolling papers that enhance every puff.","Elevate your smoking experience with SlimJim Rolling Papers. Featuring a sleek and slender design, these Slim papers offer 20 leaves of pure delight for your smoking pleasure. Crafted for connoisseurs who appreciate the finer things, these papers deliver a smooth and stylish smoking experience. Upgrade your smoking game with SlimJim, your go-to choice for slim-sized rolling papers that enhance every puff.",,,,,
SlimJim Rolling Papers - all in 1,Gadget,63,180,20,8,In stock,,,,,,,
SlimJim Rolling Papers + Tips,Gadget,31,120,130,5,In stock,"Experience the pinnacle of smoking sophistication with SlimJim Rolling Papers and Tips. This all-in-one package includes 32 unbleached skins and 32 roaches for an eco-conscious smoking experience. Crafted with precision, these slender papers and perfectly-sized tips offer the discerning smoker the ultimate in convenience and eco-friendly indulgence. Elevate your sessions with SlimJim, where unbleached quality meets a comprehensive smoking solution, delivering 32 times the pleasure.","Experience the pinnacle of smoking sophistication with SlimJim Rolling Papers and Tips. This all-in-one package includes 32 unbleached skins and 32 roaches for an eco-conscious smoking experience. Crafted with precision, these slender papers and perfectly-sized tips offer the discerning smoker the ultimate in convenience and eco-friendly indulgence. Elevate your sessions with SlimJim, where unbleached quality meets a comprehensive smoking solution, delivering 32 times the pleasure.",,,,,
SlimJim Double Duty Carbon Pack,Gadget,125,250,5,5,In stock,,,,,,,
Toppuff Small,Gadget,40,200,10,7,In stock,,,,,,,
WEED.TH Rolling Papers + Tips,Gadget,8,100,220,8,In stock,"Enjoy a premium smoking experience with WEED.TH Rolling Papers + Tips. Each pack contains 32 unbleached leaves, sized at 107x44mm, ensuring a smooth, clean burn. Perfect for a natural and pure smoke, these rolling papers are ideal for both beginners and seasoned smokers alike. Available in-store and for delivery.","Enjoy a premium smoking experience with WEED.TH Rolling Papers + Tips. Each pack contains 32 unbleached leaves, sized at 107x44mm, ensuring a smooth, clean burn. Perfect for a natural and pure smoke, these rolling papers are ideal for both beginners and seasoned smokers alike. Available in-store and for delivery.",,,,,
Wizman Rolling Papers - all in 1,Gadget,63,180,300,1,In stock,"Elevate your rolling game with our exclusive King Size Slim Rolling Papers, each measuring a generous 107*44 mm. Inside every box, you'll find 15 packs, with each pack containing 32 ultra-thin translucent rolling papers and 32 tips. \n\n But that's not all. Our all-in-one package also includes a convenient tray and grinder, making your smoking experience even more enjoyable. Crafted by Asia 420 United and illustrated by Mr. Rin, this product pays homage to Asia's cannabis heritage. \n\n What sets our rolling papers apart is their natural, additive-free composition. We believe in providing you with a clean, unadulterated smoking experience that lets the true flavors shine. Join us as we unite Asian 420 enthusiasts and advocate for medical cannabis legalization. Together, we're exploring new possibilities and striving for a greener, more peaceful world.","Elevate your rolling game with our exclusive King Size Slim Rolling Papers, each measuring a generous 107*44 mm. Inside every box, you'll find 15 packs, with each pack containing 32 ultra-thin translucent rolling papers and 32 tips.",,,,,
THC Brownie 300mg,Edible,160,350,2,0,In stock,,,,,,,
THC Brownie,Edible,55,250,30,3,In stock,"Welcome to the deep end of edible indulgence, where the THC Brownie 50mg THC Dark Chocolate Brownie awaits to haunt your senses. This is not just a treat; it is a rite of passage for the true cannabis veteran who demands intensity and sophistication. We have ditched the child’s play to bring you a heavy-hitting masterpiece that fuses artisanal confection with potent, organic pharmacology. Prepare your palate for a blackout of flavor, as this brownie is crafted from premium 70% dark chocolate offering a sophisticated, bittersweet profile that dominates the senses. \n\n The rich cocoa butter creates a velvety, melt-in-your-mouth texture that perfectly masks the heavy herbal undertones of our high-grade cannabis oil, letting you taste deep notes of espresso and roasted nuts followed by a subtle, spicy kick. It is dense, fudgy, and dangerously delicious. Powered by a 60% Indica-dominant blend, this 50mg ""hero dose"" is engineered for maximum impact. This is the signature THC Brownie effect: a creeping, full-body gravity that starts behind the eyes and melts down to your toes. \n\n It serves as the ultimate off-switch for your brain’s chaos, making it perfect whether you are looking to erase a stressful week, turn your couch into a cloud for a cinematic marathon, or conquer insomnia with the force of a sledgehammer. We never cut corners, so our THC oil is solvent-free and lab-tested for purity, ensuring that every 50mg hit is consistent, clean, and safe. Be warned that this ghost haunts hard. 50mg is a significant dose even for daily smokers, so we recommend seasoned users clear their schedule, hydrate, and prepare for a long, euphoric ride into the shadows. Eat, wait ninety minutes, and let the THC Brownie take the wheel.",Experience deep relaxation with THC Brownie 50mg THC Dark Chocolate Brownie. Premium 60% Indica blend for a potent body high and rich fudgy flavor. Shop now.,Indica 60%,50.0,0.0,"Deep Sedation, Euphoric Calm, Sleep Aid",
THC Brownies,Edible,350,800,440,2,In stock,"Step into the shadows and stay there with the Quad-Pack of THC Brownies, a heavy artillery collection of our 200mg dark chocolate treats. Why settle for a single trip to the abyss when you can secure a full weekend pass? This box contains four of our legendary, high-potency brownies, totaling a staggering 800mg of organic THC per package. It is the ultimate survival kit for the cannabis connoisseur who refuses to run dry, perfect for sharing with a select crew of heavy hitters or hoarding for a solo journey into the deepest realms of relaxation. Each brownie is a masterclass in confectionary darkness, crafted from rich, velvety 70% dark chocolate that melts away the boundaries between dessert and medication. \n\n The flavor profile is an uncompromising blackout of bittersweet indulgence, designed to satisfy the most sophisticated palate while delivering a knockout punch. We use premium cocoa butter to create a dense, fudgy texture that perfectly masks the earthy undertones of our high-grade cannabis oil. You will taste deep, roasted espresso notes and a whisper of nutty warmth, all concealing the 200mg payload hidden within each square. Powered by a 60% Indica-dominant blend, these THC Brownies are not for the faint of heart. They deliver a heavy, creeping sedation that locks you to the couch and turns the volume down on the outside world. Whether you are treating chronic pain, battling severe insomnia, or simply looking to erase the stress of modern existence, having four of these powerhouses on hand ensures you are always ready to disconnect. \n\n We believe in precision, which is why every batch is lab-tested and solvent-free, guaranteeing that each of the four brownies delivers the exact same 200mg impact. This consistency allows you to dose with confidence, whether you are taking a quarter for a mild buzz or a whole square for a deep-sea dive. However, respect the potency. With 800mg in the box, this pack is high-voltage territory. We recommend splitting these THC Brownies with friends or pacing yourself over several days. Clear your calendar, hydrate, and prepare for extended haunting, because once you open this box, there is no turning back from the relaxation that follows.",Stock up with the 4-Pack of THC Brownies. Four 200mg Dark Chocolate treats (800mg Total) for extended relief. Premium Indica blend for deep sedation.,Indica 60%,800.0,0.0,"Deep Sedation, Euphoric Calm, Sleep Aid",
