slug,name,logo,description,opensea,embellishments,ghost,headgear,joint,leaves,shades,vibe,vibes
72,Green Ghost Degen 72,/nft/72.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,0,Green Dream,Eth Eyes,Indica Island,Blazed Bliss
73,Green Ghost Degen 73,/nft/73.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Hybrid Harmony,0,Crypto Sunset,Pineapple Express
74,Green Ghost Degen 74,/nft/74.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Rasta Locks,Pump & Puff,Green Dream,0,Indica Island,The Munchie Look
75,Green Ghost Degen 75,/nft/75.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,0,HODL Haze,Sativa Serenade,0,Jungle Jive,Munchies
76,Green Ghost Degen 76,/nft/76.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Dank Crown,HODL Haze,Canna Corona,0,Jungle Jive,Red Eyed Reaper
77,Green Ghost Degen 77,/nft/77.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Bass Buds,Satoshis Spliff,Green Dream,0,Moon Lamai Beach,Stoned Stare
78,Green Ghost Degen 78,/nft/78.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Green Dream,Dollar Signs,Sativa Sunrise,Pineapple Express
79,Green Ghost Degen 79,/nft/79.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Hybrid Harmony,0,Sativa Sunrise,Gazing Galactic
80,Green Ghost Degen 80,/nft/80.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Ganja Gurus Turban,Satoshis Spliff,Indica Intuition,0,Rasta Road,Baked
81,Green Ghost Degen 81,/nft/81.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Hybrid Harmony,0,Moon Lamai Beach,Red Eyed Reaper
82,Green Ghost Degen 82,/nft/82.png,Coming Soon!,0,Leaflet,Green Ghost Degen,0,0,Sativa Serenade,Weed Wrap Arounds,Moon Lamai Beach,Blazed Bliss
83,Green Ghost Degen 83,/nft/83.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Bakers Biretta,Pump & Puff,Ganja Green,Puff Panes,Indica Island,Red Eyed Reaper
84,Green Ghost Degen 84,/nft/84.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Bass Buds,HODL Haze,Sativa Serenade,Munchies Mirrors,Phuket Pharms,Gazing Galactic
85,Green Ghost Degen 85,/nft/85.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Ganja Gurus Turban,Blockchain Blaze,Ganja Green,Sativa Sunglasses,Jungle Jive,Based
86,Green Ghost Degen 86,/nft/86.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Bearish Bonnet,Satoshis Spliff,Indica Intuition,Stoner Specs,Moon Lamai Beach,Munchies
87,Green Ghost Degen 87,/nft/87.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,0,0,Ganja Green,Dollar Signs,Sativa Sunrise,Blazed Bliss
88,Green Ghost Degen 88,/nft/88.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Buildmaster Helmet,HODL Haze,Green Dream,Weed Wrap Arounds,Indica Island,Pineapple Express
89,Green Ghost Degen 89,/nft/89.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Degen Top Hat,Pump & Puff,Canna Corona,0,Jungle Jive,Baked
90,Green Ghost Degen 90,/nft/90.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,0,Sativa Serenade,Sativa Sunglasses,Crypto Sunset,Baked
91,Green Ghost Degen 91,/nft/91.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Stoners Sombrero,Pump & Puff,Hybrid Harmony,0,Moon Lamai Beach,Stoned Stare
92,Green Ghost Degen 92,/nft/92.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Degen Top Hat,HODL Haze,Canna Corona,0,Thai High Sky,Baked
93,Green Ghost Degen 93,/nft/93.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Ganja Gurus Turban,Blockchain Blaze,Green Dream,NFT Noggles,Sativa Sunrise,The Munchie Look
94,Green Ghost Degen 94,/nft/94.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Dank Crown,HODL Haze,Green Dream,0,Patong Pixies,Baked
95,Green Ghost Degen 95,/nft/95.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Hybrid Harmony,0,Based Island,High Times
96,Green Ghost Degen 96,/nft/96.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Indica Intuition,0,Indica Island,High Times
97,Green Ghost Degen 97,/nft/97.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Jamaican Bonnet,HODL Haze,Canna Corona,0,Based Island,Gazing Galactic
98,Green Ghost Degen 98,/nft/98.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Jamaican Bonnet,Pump & Puff,Sativa Serenade,Puff Panes,Moon Lamai Beach,High Times
99,Green Ghost Degen 99,/nft/99.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Green Dream,0,Rasta Road,Red Eyed Reaper
100,Green Ghost Degen 100,/nft/100.png,Coming Soon!,0,Leaflet,Green Ghost Degen,0,HODL Haze,Green Dream,0,Hybrid Serenity,Pineapple Express
101,Green Ghost Degen 101,/nft/101.png,Coming Soon!,0,Leaflet,Green Ghost Degen,Jamaican Bonnet,Blockchain Blaze,Green Dream,Eth Eyes,Hybrid Serenity,Dank Daydream
102,Green Ghost Degen 102,/nft/102.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,Pump & Puff,Minty Mirage,0,Moon Lamai Beach,Red Eyed Reaper
103,Green Ghost Degen 103,/nft/103.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,Pump & Puff,Hybrid Harmony,0,Thailand Flag,Munchies
104,Green Ghost Degen 104,/nft/104.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Buildmaster Helmet,Weed Flag Beanie,Ganja Green,0,Based Island,Munchies
105,Green Ghost Degen 105,/nft/105.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Sativa Serenade,0,Thailand Flag,Red Eyed Reaper
106,Green Ghost Degen 106,/nft/106.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,High Hat,Pump & Puff,Hybrid Harmony,0,Jungle Jive,Munchies
107,Green Ghost Degen 107,/nft/107.png,Coming Soon!,0,Leaflet,Green Ghost Degen,Jamaican Bonnet,Satoshis Spliff,Sativa Serenade,0,Patong Pixies,High Times
108,Green Ghost Degen 108,/nft/108.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Crypto Scholars Cap,HODL Haze,Minty Mirage,0,Indica Island,Dank Daydream
109,Green Ghost Degen 109,/nft/109.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,Pump & Puff,Green Dream,0,Phuket Pharms,The Munchie Look
110,Green Ghost Degen 110,/nft/110.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Jamaican Bonnet,Blockchain Blaze,Sativa Serenade,Weed Wrap Arounds,Hybrid Serenity,High Times
111,Green Ghost Degen 111,/nft/111.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Indica Intuition,0,Jungle Jive,Based
112,Green Ghost Degen 112,/nft/112.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Buildmaster Helmet,Blockchain Blaze,Sativa Serenade,Munchies Mirrors,Phuket Pharms,Based
113,Green Ghost Degen 113,/nft/113.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,Pump & Puff,Green Dream,0,Sativa Sunrise,Blazed Bliss
114,Green Ghost Degen 114,/nft/114.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Puff Hat,Blockchain Blaze,Green Dream,0,Hybrid Serenity,Red Eyed Reaper
115,Green Ghost Degen 115,/nft/115.png,Coming Soon!,0,Leaflet,Green Ghost Degen,Crypto Scholars Cap,Blockchain Blaze,Indica Intuition,Blockchain Blinders,Patong Pixies,Dank Daydream
116,Green Ghost Degen 116,/nft/116.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Sativa Serenade,0,Based Island,Baked
117,Green Ghost Degen 117,/nft/117.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,Satoshis Spliff,Sativa Serenade,0,Patong Pixies,Red Eyed Reaper
118,Green Ghost Degen 118,/nft/118.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,Satoshis Spliff,Canna Corona,0,Indica Island,Munchies
119,Green Ghost Degen 119,/nft/119.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Sativa Serenade,0,Based Island,Red Eyed Reaper
120,Green Ghost Degen 120,/nft/120.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Ganja Green,NFT Noggles,Sativa Sunrise,Gazing Galactic
121,Green Ghost Degen 121,/nft/121.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,0,Sativa Serenade,Stoner Specs,Based Island,Toke Trance
122,Green Ghost Degen 122,/nft/122.png,Coming Soon!,0,Leaflet,Green Ghost Degen,0,0,Canna Corona,0,Hybrid Serenity,Pineapple Express
123,Green Ghost Degen 123,/nft/123.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Crypto Scholars Cap,Blockchain Blaze,Indica Intuition,0,Based Island,Blazed Bliss
124,Green Ghost Degen 124,/nft/124.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Crypto Scholars Cap,Pump & Puff,Minty Mirage,Weed Wrap Arounds,Crypto Sunset,Stoned Stare
125,Green Ghost Degen 125,/nft/125.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,Bearish Bonnet,HODL Haze,Hybrid Harmony,0,Thai High Sky,Red Eyed Reaper
126,Green Ghost Degen 126,/nft/126.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Hybrid Harmony,0,Based Island,Gazing Galactic
127,Green Ghost Degen 127,/nft/127.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,Dank Crown,Blockchain Blaze,Sativa Serenade,0,Moon Lamai Beach,Stoned Stare
128,Green Ghost Degen 128,/nft/128.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,0,Minty Mirage,0,Indica Island,Pineapple Express
129,Green Ghost Degen 129,/nft/129.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,Blockchain Blaze,Ganja Green,0,Indica Island,Stoned Stare
130,Green Ghost Degen 130,/nft/130.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Degen Top Hat,Pump & Puff,Green Dream,0,Indica Island,The Munchie Look
131,Green Ghost Degen 131,/nft/131.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Puff Hat,Blockchain Blaze,Indica Intuition,0,Thai High Sky,Chillaxer
132,Green Ghost Degen 132,/nft/132.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,0,0,Canna Corona,0,Crypto Sunset,Pineapple Express
133,Green Ghost Degen 133,/nft/133.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,0,0,Green Dream,Bong Shades,Based Island,High Times
134,Green Ghost Degen 134,/nft/134.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Green Dream,Puff Panes,Based Island,Dank Daydream
135,Green Ghost Degen 135,/nft/135.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Puff Hat,Blockchain Blaze,Green Dream,0,Moon Lamai Beach,Stoned Stare
136,Green Ghost Degen 136,/nft/136.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Canna Corona,0,Thailand Flag,Baked
137,Green Ghost Degen 137,/nft/137.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,Pump & Puff,Minty Mirage,0,Jungle Jive,Blazed Bliss
138,Green Ghost Degen 138,/nft/138.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,0,0,Green Dream,0,Indica Island,Blazed Bliss
139,Green Ghost Degen 139,/nft/139.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,0,0,Green Dream,Sativa Sunglasses,Thai High Sky,Blazed Bliss
140,Green Ghost Degen 140,/nft/140.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Stoners Sombrero,Pump & Puff,Green Dream,NFT Noggles,Jungle Jive,Pineapple Express
141,Green Ghost Degen 141,/nft/141.png,Coming Soon!,0,Leaflet,Green Ghost Degen,0,0,Green Dream,Dollar Signs,Sativa Sunrise,Munchies
142,Green Ghost Degen 142,/nft/142.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Bearish Bonnet,Blockchain Blaze,Hybrid Harmony,NFT Noggles,Phuket Pharms,The Munchie Look
143,Green Ghost Degen 143,/nft/143.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Buildmaster Helmet,Blockchain Blaze,Ganja Green,0,Thai High Sky,High Times
144,Green Ghost Degen 144,/nft/144.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Green Dream,Sativa Sunglasses,Indica Island,Blazed Bliss
145,Green Ghost Degen 145,/nft/145.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,0,0,Ganja Green,0,Indica Island,Toke Trance
146,Green Ghost Degen 146,/nft/146.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,Degen Top Hat,Blockchain Blaze,Ganja Green,Puff Panes,Hybrid Serenity,Blazed Bliss
147,Green Ghost Degen 147,/nft/147.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Crypto Scholars Cap,HODL Haze,Ganja Green,Crypto Specs,Patong Pixies,Red Eyed Reaper
148,Green Ghost Degen 148,/nft/148.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Stoners Sombrero,HODL Haze,Indica Intuition,Eth Eyes,Crypto Sunset,Pineapple Express
149,Green Ghost Degen 149,/nft/149.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,Crypto Scholars Cap,Satoshis Spliff,Canna Corona,Bong Shades,Patong Pixies,Pineapple Express
150,Green Ghost Degen 150,/nft/150.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,0,Pump & Puff,Green Dream,0,Thai High Sky,Chillaxer
151,Green Ghost Degen 151,/nft/151.png,Coming Soon!,0,Nugget Nook,Green Ghost Degen,0,Blockchain Blaze,Green Dream,0,Indica Island,High Times
152,Green Ghost Degen 152,/nft/152.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Sativa Serenade,0,Weed Republic Flag,Chillaxer
153,Green Ghost Degen 153,/nft/153.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,Blockchain Blaze,Indica Intuition,0,Sativa Sunrise,High Times
154,Green Ghost Degen 154,/nft/154.png,Coming Soon!,0,0,Green Ghost Degen,0,0,Indica Intuition,0,Moon Lamai Beach,Blazed Bliss
155,Green Ghost Degen 155,/nft/155.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Canna Corona,0,Indica Island,Chillaxer
156,Green Ghost Degen 156,/nft/156.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,Buildmaster Helmet,Blockchain Blaze,Hybrid Harmony,0,Patong Pixies,Based
157,Green Ghost Degen 157,/nft/157.png,Coming Soon!,0,Bong Bubble,Green Ghost Degen,0,0,Hybrid Harmony,NFT Noggles,Indica Island,Baked
158,Green Ghost Degen 158,/nft/158.png,Coming Soon!,0,Smoke Swirl,Green Ghost Degen,0,Blockchain Blaze,Hybrid Harmony,0,Patong Pixies,Munchies
